text,label
还有多少电？,0
看看电量。,0
你快没电了吗？,0
电池百分比是多少？,0
检查一下剩余电量。,0
你还能撑多久？,0
播报一下当前电量。,0
你的电够用吗？,0
查一下电量。,0
告诉我电池状态。,0
现在还有百分之几的电？,0
电量还剩多少？,0
提示下剩余电量。,0
你现在的电量是多少？,0
没电了没？,0
汇报电量。,0
电池还有电吗？,0
查看电池。,0
帮我看一下你现在的电量。,0
你的电池水平如何？,0
还有电没？,0
动力电池还剩多少？,0
帮我看看电。,0
电量告急了吗？,0
汇报一下目前的能量状态。,0
你还能跑多远？,0
电池状态显示一下。,0
还有多少百分比的电量？,0
查看电量剩余。,0
你现在是满电吗？,0
能量还充足吗？,0
检查下电池电量。,0
电量多吗？,0
看看你还有多少电。,0
显示当前电量。,0
电池还有几格？,0
还有剩电吗？,0
你现在的电池百分比。,0
帮我确认下剩余电量。,0
告诉我电池能量。,0
电池寿命还有多少？,0
电量消耗快吗？,0
查询电池百分比。,0
现在的续航还有多少？,0
能量剩余检查。,0
请问还有电吗？,0
看看还有多少电量。,0
显示电池状态。,0
你还有多少能量？,0
汇报一下电池。,0
充电,1
去充电,1
回充电桩充电,1
执行充电指令,1
机器人没电了，去充电,1
自动寻找充电座,1
回桩补电,1
开启回充模式,1
去补充电量,1
找充电座充电,1
执行充电程序,1
返回充电位,1
机器人，回充,1
准备充电,1
去插电充电,1
回家补电,1
能量不足，回充,1
机器人，去充电站,1
准备补电动作,1
执行回充指令,1
进入充电位,1
回到底座充电,1
机器人开始充电,1
现在去充电,1
寻找能源补电,1
进入充电状态,1
去充电口对接,1
回充电桩待命,1
机器人，准备充电,1
充电动作开始,1
回到底座上去,1
把电充满,1
进行能量补充,1
执行回充任务,1
从当前位置回充,1
机器人去桩位,1
充电程序启动,1
回充到初始位置,1
离开当前区域充电,1
开始充电流程,1
机器人，快去补电,1
寻找充电资源,1
进入自动回充,1
准备对接充电桩,1
去底座上待着,1
充电进行中,1
机器人，请回充,1
到充电位置站好,1
执行补电逻辑,1
回桩充电待命,1
下车,2
从车上下来,2
下车执行任务,2
机器人下车,2
执行下车动作,2
离开载具,2
从车里爬出来,2
下车准备工作,2
下到地面上去,2
下车待命,2
开启下车程序,2
离开车厢,2
机器人，下载具,2
准备下车,2
下车模式开启,2
放下支架下车,2
从车里出来,2
机器人，到地上去,2
准备下车动作,2
执行离车指令,2
退出运输位,2
下到地面上,2
机器人离位,2
现在请下车,2
伸展并下车,2
离开载具仓,2
跳下车去,2
下车找个位置,2
机器人，准备下车,2
离车动作开始,2
下到地板上,2
把自己从车里放下来,2
下车站稳,2
执行下载具任务,2
从车里走出来,2
机器人离底盘,2
下车程序启动,2
下车到地面就位,2
离开车辆内部,2
开始下车动作,2
机器人，离开车子,2
下到外边去,2
退出车载模式,2
准备离位下车,2
跳下座位,2
下车进行巡视,2
机器人，快下车,2
到地上去站好,2
执行下车逻辑,2
下载具待命,2
退出,3
再见,3
拜拜,3
结束,3
你可以走了,3
休息吧,3
下班吧,3
没事了,3
就到这里吧,3
不要说话,3
停止对话,3
结束会话,3
明天见,3
我不需要你了,3
关闭语音助手,3
退出程序,3
进入睡眠模式,3
别烦我,3
我知道了，你可以走了,3
谢谢，再见,3
辛苦了，退下吧,3
暂时不需要帮忙,3
停止服务,3
断开连接,3
就这样,3
没你的事了,3
结束运行,3
你可以休息了,3
别出声,3
我想一个人待会,3
好了好了，退出吧,3
关闭系统,3
切断语音,3
别嘟囔了,3
先这样吧,3
拜托闭嘴,3
好了，你可以退下了,3
你可以消失了,3
帮我关了,3
不再需要,3
关闭功能,3
不要再说了,3
给我闭嘴,3
请离开,3
对话结束,3
退出监听,3
拜拜了您内,3
立刻关闭,3
别响了,3
别打扰我,3
跟我走,4
跟着我,4
紧跟在我后面,4
小机器人跟着我,4
保持跟随状态,4
锁定我并移动,4
开始尾随模式,4
启动跟随功能,4
跟上我的脚步,4
别掉队，跟着我,4
执行跟随指令,4
机器人，跟过来,4
在我后方跟随,4
寻找目标并跟随,4
进入自动跟随模式,4
你要一直跟着我,4
请跟我来,4
开启自动跟随,4
跟着我别动,4
注意我的位置并跟随,4
保持安全距离跟随,4
现在开始跟着我走,4
跟随模式开启,4
开启人体跟随,4
跟在我的身后,4
别跟丢了，跟紧点,4
机器人跟随我,4
跟随命令启动,4
你要跟在我后头,4
执行实时跟随,4
开启跟随导航,4
像个影子一样跟着我,4
机器人，尾随我,4
锁定当前目标并跟随,4
保持在我的后方,4
跟我一起出发,4
进入跟随程序,4
开始追踪并跟随,4
你要持续跟随我,4
跟随控制开启,4
现在请跟随我,4
跟我走吧,4
启动动态跟随,4
保持跟随不要停,4
机器人，跟上,4
开启智能跟随,4
跟随我的路径,4
跟我去那边,4
识别并跟随我,4
开始你的跟随任务,4
上车,5
准备上车,5
跳到车上去,5
进入载具,5
机器人上车,5
执行上车动作,5
把自己搬上车,5
上车准备出发,5
爬到车里去,5
上车待命,5
开启上车程序,5
上到车厢里,5
机器人，上载具,5
准备进入车辆,5
上车模式开启,5
收起支架上车,5
去车里待着,5
机器人，到车上去,5
准备登车,5
执行登车指令,5
进入运输位,5
上到平板车上,5
机器人上座位,5
现在请上车,5
收缩并上车,5
进入载具仓,5
跳上车去,5
去车里找位置,5
机器人，准备上车,5
登车动作开始,5
上到车板上,5
把自己放回车内,5
上车坐稳,5
执行上载具任务,5
进到车里去,5
机器人上底盘,5
上车程序启动,5
到车上就位,5
进入车辆内部,5
开始上车动作,5
机器人，回车上,5
上到那辆车上,5
进入车载模式,5
准备归位上车,5
跳到座位上,5
上车进行运输,5
机器人，快上车,5
到车上去坐好,5
执行上车逻辑,5
上载具待命,5
后退,6
后撤,6
倒退,6
向后退,6
向后退一点,6
往后挪一挪,6
执行后退指令,6
机器人后退,6
向后方移动,6
往回退几步,6
保持后退状态,6
向后移动位置,6
机器人，向后退,6
退后一些,6
往后方移,6
向后倒退,6
撤退一段距离,6
往后撤,6
向后平移,6
机器人，往后退,6
后退三步,6
朝后方移动,6
向后挪动,6
执行倒退操作,6
往后面退,6
向后方撤退,6
向后方行驶,6
往回撤一点,6
机器人，倒退,6
向后走,6
往后挪位,6
向后移动一点,6
保持后退,6
退回原位,6
机器人，往后移,6
向后方挪动,6
往后方倒,6
往后退一步,6
执行撤退指令,6
机器人，请后退,6
往后走几步,6
向后匀速移动,6
朝后方退,6
往后方撤,6
